"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","2,836.74","2,812.64","2,842.71","2,791.76","-","1.39%"
"Apr 23, 2020","2,797.80","2,810.42","2,844.90","2,794.26","-","-0.05%"
"Apr 22, 2020","2,799.31","2,787.89","2,815.10","2,775.95","-","2.29%"
"Apr 21, 2020","2,736.56","2,784.81","2,785.54","2,727.10","-","-3.07%"
"Apr 20, 2020","2,823.16","2,845.62","2,868.98","2,820.43","-","-1.79%"
"Apr 17, 2020","2,874.56","2,842.43","2,879.22","2,830.88","-","2.68%"
"Apr 16, 2020","2,799.55","2,799.34","2,806.51","2,764.32","-","0.58%"
"Apr 15, 2020","2,783.36","2,795.64","2,801.88","2,761.54","-","-2.20%"
"Apr 14, 2020","2,846.06","2,805.10","2,851.85","2,805.10","-","3.06%"
"Apr 13, 2020","2,761.63","2,782.46","2,782.46","2,721.17","-","-1.01%"
"Apr 09, 2020","2,789.82","2,776.99","2,818.57","2,762.36","-","1.45%"
"Apr 08, 2020","2,749.98","2,685.00","2,760.75","2,663.30","-","3.41%"
"Apr 07, 2020","2,659.41","2,738.65","2,756.89","2,657.67","-","-0.16%"
"Apr 06, 2020","2,663.68","2,578.28","2,676.85","2,574.57","-","7.03%"
"Apr 03, 2020","2,488.65","2,514.92","2,538.18","2,459.96","-","-1.51%"
"Apr 02, 2020","2,526.90","2,458.54","2,533.22","2,455.79","-","2.28%"
"Apr 01, 2020","2,470.50","2,498.08","2,522.75","2,447.49","-","-4.41%"
"Mar 31, 2020","2,584.59","2,614.69","2,641.39","2,571.15","-","-1.60%"
"Mar 30, 2020","2,626.65","2,558.98","2,631.80","2,545.28","-","3.35%"
"Mar 27, 2020","2,541.47","2,555.87","2,615.91","2,520.02","-","-3.37%"
"Mar 26, 2020","2,630.07","2,501.29","2,637.01","2,500.72","-","6.24%"
"Mar 25, 2020","2,475.56","2,457.77","2,571.42","2,407.53","-","1.15%"
"Mar 24, 2020","2,447.33","2,344.44","2,449.71","2,344.44","-","9.38%"
"Mar 23, 2020","2,237.40","2,290.71","2,300.73","2,191.86","-","-2.93%"
"Mar 20, 2020","2,304.92","2,431.94","2,453.01","2,295.56","-","-4.34%"
"Mar 19, 2020","2,409.39","2,393.48","2,466.97","2,319.78","-","0.47%"
"Mar 18, 2020","2,398.10","2,436.50","2,453.57","2,280.52","-","-5.18%"
"Mar 17, 2020","2,529.19","2,425.66","2,553.93","2,367.04","-","6.00%"
"Mar 16, 2020","2,386.13","2,508.59","2,562.98","2,380.94","-","-11.98%"
"Mar 13, 2020","2,711.02","2,569.99","2,711.33","2,492.37","-","9.29%"
"Mar 12, 2020","2,480.64","2,630.86","2,660.95","2,478.86","-","-9.51%"
"Mar 11, 2020","2,741.38","2,825.60","2,825.60","2,707.22","-","-4.89%"
"Mar 10, 2020","2,882.23","2,813.48","2,882.59","2,734.00","-","4.94%"
"Mar 09, 2020","2,746.56","2,863.89","2,863.89","2,734.43","-","-7.60%"
"Mar 06, 2020","2,972.37","2,954.20","2,985.93","2,901.54","-","-1.71%"
"Mar 05, 2020","3,023.94","3,075.70","3,083.04","2,999.83","-","-3.39%"
"Mar 04, 2020","3,130.12","3,045.75","3,130.97","3,034.38","-","4.22%"
"Mar 03, 2020","3,003.37","3,096.46","3,136.72","2,976.63","-","-2.81%"
"Mar 02, 2020","3,090.23","2,974.28","3,090.96","2,945.19","-","4.60%"
"Feb 28, 2020","2,954.22","2,916.90","2,959.72","2,855.84","-","-0.82%"
"Feb 27, 2020","2,978.76","3,062.54","3,097.07","2,977.39","-","-4.42%"
"Feb 26, 2020","3,116.39","3,139.90","3,182.51","3,108.99","-","-0.38%"
"Feb 25, 2020","3,128.21","3,238.94","3,246.99","3,118.77","-","-3.03%"
"Feb 24, 2020","3,225.89","3,257.61","3,259.81","3,214.65","-","-3.35%"
"Feb 21, 2020","3,337.75","3,360.50","3,360.76","3,328.45","-","-1.05%"
"Feb 20, 2020","3,373.23","3,380.45","3,389.15","3,341.02","-","-0.38%"
"Feb 19, 2020","3,386.15","3,380.39","3,393.52","3,378.83","-","0.47%"
"Feb 18, 2020","3,370.29","3,369.04","3,375.01","3,355.61","-","-0.29%"
"Feb 14, 2020","3,380.16","3,378.08","3,380.69","3,366.15","-","0.18%"
"Feb 13, 2020","3,373.94","3,365.90","3,385.09","3,360.52","-","-0.16%"
"Feb 12, 2020","3,379.45","3,370.50","3,381.47","3,369.72","-","0.65%"
"Feb 11, 2020","3,357.75","3,365.87","3,375.63","3,352.72","-","0.17%"
"Feb 10, 2020","3,352.09","3,318.28","3,352.26","3,317.77","-","0.73%"
"Feb 07, 2020","3,327.71","3,335.54","3,341.42","3,322.12","-","-0.54%"
"Feb 06, 2020","3,345.78","3,344.92","3,347.96","3,334.39","-","0.33%"
"Feb 05, 2020","3,334.69","3,324.91","3,337.58","3,313.75","-","1.13%"
"Feb 04, 2020","3,297.59","3,280.61","3,306.92","3,280.61","-","1.50%"
"Feb 03, 2020","3,248.92","3,235.66","3,268.44","3,235.66","-","0.73%"
"Jan 31, 2020","3,225.52","3,282.33","3,282.33","3,214.68","-","-1.77%"
"Jan 30, 2020","3,283.66","3,256.45","3,285.91","3,242.80","-","0.31%"
"Jan 29, 2020","3,273.40","3,289.46","3,293.47","3,271.89","-","-0.09%"
"Jan 28, 2020","3,276.24","3,255.35","3,285.78","3,253.22","-","1.01%"
"Jan 27, 2020","3,243.63","3,247.16","3,258.85","3,234.50","-","-1.57%"
"Jan 24, 2020","3,295.47","3,333.10","3,333.18","3,281.53","-","-0.90%"
"Jan 23, 2020","3,325.54","3,315.77","3,326.88","3,301.87","-","0.11%"
"Jan 22, 2020","3,321.75","3,330.02","3,337.77","3,320.04","-","0.03%"
"Jan 21, 2020","3,320.79","3,321.03","3,329.79","3,316.61","-","-0.27%"
"Jan 17, 2020","3,329.62","3,323.66","3,329.88","3,318.86","-","0.39%"
"Jan 16, 2020","3,316.81","3,302.97","3,317.11","3,302.82","-","0.84%"
"Jan 15, 2020","3,289.29","3,282.27","3,298.66","3,280.69","-","0.19%"
"Jan 14, 2020","3,283.15","3,285.35","3,294.25","3,277.19","-","-0.15%"
"Jan 13, 2020","3,288.13","3,271.13","3,288.13","3,268.43","-","0.70%"
"Jan 10, 2020","3,265.35","3,281.81","3,282.99","3,260.86","-","-0.29%"
"Jan 09, 2020","3,274.70","3,266.03","3,275.58","3,263.67","-","0.67%"
"Jan 08, 2020","3,253.05","3,238.59","3,267.07","3,236.67","-","0.49%"
"Jan 07, 2020","3,237.18","3,241.86","3,244.91","3,232.43","-","-0.28%"
"Jan 06, 2020","3,246.28","3,217.55","3,246.84","3,214.64","-","0.35%"
"Jan 03, 2020","3,234.85","3,226.36","3,246.15","3,222.34","-","-0.71%"
"Jan 02, 2020","3,257.85","3,244.67","3,258.14","3,235.53","-","0.84%"